ranking;países;ouro;prata;bronze;total;ano
1;USA Estados Unidos;46;37;38;121;2016
2;GBR Grã-Bretanha;27;23;17;67;2016
3;CHN China;26;18;26;70;2016
4;RUS Rússia;19;17;20;56;2016
5;GER Alemanha;17;10;15;42;2016
6;JPN Japão;12;8;21;41;2016
7;FRA França;10;18;14;42;2016
8;KOR Coreia do Sul;9;3;9;21;2016
9;ITA Itália;8;12;8;28;2016
10;AUS Austrália;8;11;10;29;2016
11;NED Países Baixos;8;7;4;19;2016
12;HUN Hungria;8;3;4;15;2016
13;BRA Brasil;7;6;6;19;2016
14;ESP Espanha;7;4;6;17;2016
15;KEN Quênia;6;6;1;13;2016
16;JAM Jamaica;6;3;2;11;2016
17;CRO Croácia;5;3;2;10;2016
18;CUB Cuba;5;2;4;11;2016
1;USA Estados Unidos;46;28;30;104;2012
2;CHN China;38;31;22;91;2012
3;GBR Grã-Bretanha;29;17;19;65;2012
4;RUS Rússia;19;21;28;68;2012
5;KOR Coreia do Sul;13;9;8;30;2012
6;GER Alemanha;11;20;13;44;2012
7;FRA França;11;11;13;35;2012
8;AUS Austrália;8;15;12;35;2012
9;ITA Itália;8;9;11;28;2012
10;HUN Hungria;8;4;6;18;2012
11;JPN Japão;7;14;17;38;2012
12;IRI Irã;7;5;1;13;2012
13;NED Países Baixos;6;6;8;20;2012
14;NZL Nova Zelândia;6;2;5;13;2012
15;UKR Ucrânia;5;4;10;19;2012
16;CUB Cuba;5;3;7;15;2012
17;ESP Espanha;4;10;4;18;2012
18;JAM Jamaica;4;5;3;12;2012
19;CZE República Checa;4;3;4;11;2012
20;RSA África do Sul;4;1;1;6;2012
21;PRK Coreia do Norte;4;0;2;6;2012
22;BRA Brasil;3;5;9;17;2012
1;CHN China;48;22;30;100;2008
2;USA Estados Unidos;36;39;37;112;2008
3;RUS Rússia;24;13;23;60;2008
4;GBR Grã-Bretanha;19;13;19;51;2008
5;GER Alemanha;16;11;14;41;2008
6;AUS Austrália;14;15;17;46;2008
7;KOR Coreia do Sul;13;11;8;32;2008
8;JPN Japão;9;8;8;25;2008
9;ITA Itália;8;9;10;27;2008
10;FRA França;7;16;20;43;2008
11;NED Países Baixos;7;5;4;16;2008
12;UKR Ucrânia;7;4;11;22;2008
13;KEN Quênia;6;4;6;16;2008
14;ESP Espanha;5;11;3;19;2008
15;JAM Jamaica;5;4;2;11;2008
16;POL Polônia;4;5;2;11;2008
17;ETH Etiópia;4;2;1;7;2008
18;ROU Romênia;4;1;4;9;2008
19;CUB Cuba;3;10;17;30;2008
20;CAN Canadá;3;9;8;20;2008
21;HUN Hungria;3;5;2;10;2008
22;NOR Noruega;3;5;1;9;2008
23;BRA Brasil;3;4;10;17;2008
1;USA Estados Unidos;36;39;26;101;2004
2;CHN China;32;17;14;63;2004
3;RUS Rússia;28;26;36;90;2004
4;AUS Austrália;17;16;17;50;2004
5;JPN Japão;16;9;12;37;2004
6;GER Alemanha;13;16;20;49;2004
7;FRA França;11;9;13;33;2004
8;ITA Itália;10;11;11;32;2004
9;KOR Coreia do Sul;9;12;9;30;2004
10;GBR Grã-Bretanha;9;9;12;30;2004
11;CUB Cuba;9;7;11;27;2004
12;HUN Hungria;8;6;3;17;2004
13;UKR Ucrânia;8;5;9;22;2004
14;ROU Romênia;8;5;6;19;2004
15;GRE Grécia;6;6;4;16;2004
16;BRA Brasil;5;2;3;10;2004
1;USA Estados Unidos;37;24;32;93;2000
2;RUS Rússia;32;28;29;89;2000
3;CHN China;28;16;14;58;2000
4;AUS Austrália;16;25;17;58;2000
5;GER Alemanha;13;17;26;56;2000
6;FRA França;13;14;11;38;2000
7;ITA Itália;13;8;13;34;2000
8;NED Países Baixos;12;9;4;25;2000
9;CUB Cuba;11;11;7;29;2000
10;GBR Grã-Bretanha;11;10;7;28;2000
11;ROU Romênia;11;6;9;26;2000
12;KOR Coreia do Sul;8;10;10;28;2000
13;HUN Hungria;8;6;3;17;2000
14;POL Polônia;6;5;3;14;2000
15;JPN Japão;5;8;5;18;2000
16;BUL Bulgária;5;6;2;13;2000
17;GRE Grécia;4;6;3;13;2000
18;SWE Suécia;4;5;3;12;2000
19;NOR Noruega;4;3;3;10;2000
20;ETH Etiópia;4;1;3;8;2000
