Pais,ano,medalhas,iso
Australia,2000,58,AUS
Canada,2000,14,CAN
Estados Unidos,2000,93,USA
China,2000,58,CHN
Japão,2000,18,JPN
Africa do Sul,2000,5,ZAF
Italia,2000,34,ITA
França,2000,38,FRA
Inglaterra,2000,28,GBR
Alemanha,2000,33,DEU
Quenia,2000,7,KEN
Russia,2000,89,RUS
Cuba,2000,29,CUB
Argentina,2000,4,ARG
Australia,2004,50,AUS
Canada,2004,12,CAN
Estados Unidos,2004,101,USA
China,2004,63,CHN
Japão,2004,38,JPN
Africa do Sul,2004,6,ZAF
Italia,2004,32,ITA
França,2004,33,FRA
Inglaterra,2004,30,GBR
Alemanha,2004,49,DEU
Quenia,2004,7,KEN
Russia,2004,90,RUS
Cuba,2004,27,CUB
Argentina,2004,6,ARG
Australia,2008,46,AUS
Canada,2008,19,CAN
Estados Unidos,2008,110,USA
China,2008,100,CHN
Japão,2008,25,JPN
Africa do Sul,2008,1,ZAF
Italia,2008,27,ITA
França,2008,41,FRA
Inglaterra,2008,47,GBR
Alemanha,2008,41,DEU
Quenia,2008,14,KEN
Russia,2008,73,RUS
Cuba,2008,24,CUB
Argentina,2008,6,ARG
Australia,2012,35,AUS
Canada,2012,18,CAN
Estados Unidos,2012,104,USA
China,2012,88,CHN
Japão,2012,38,JPN
Africa do Sul,2012,6,ZAF
Italia,2012,24,ITA
França,2012,34,FRA
Inglaterra,2012,65,GBR
Alemanha,2012,44,DEU
Quenia,2012,11,KEN
Russia,2012,82,RUS
Cuba,2012,14,CUB
Argentina,2012,4,ARG
Australia,2016,29,AUS
Canada,2016,22,CAN
Estados Unidos,2016,121,USA
China,2016,70,CHN
Japão,2016,41,JPN
Africa do Sul,2016,10,ZAF
Italia,2016,28,ITA
França,2016,42,FRA
Inglaterra,2016,67,GBR
Alemanha,2016,42,DEU
Quenia,2016,13,KEN
Russia,2016,56,RUS
Cuba,2016,11,CUB
Argentina,2016,4,ARG
Brasil,2000,12,BRA
Brasil,2004,10,BRA
Brasil,2008,15,BRA
Brasil,2012,17,BRA
Brasil,2016,19,BRA
Grecia,2000,13,GRC
Grecia,2004,16,GRC
Grecia,2008,4,GRC
Grecia,2012,2,GRC
Grecia,2016,6,GRC
