Total de Medalhas 2000,Total de Medalhas 2004,Total de Medalhas 2008,Total de Medalhas 2012,Total de Medalhas 2016
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,Brasil,Brasil,Brasil,Brasil
Brasil,USA,Brasil,Brasil,Brasil
Brasil,USA,Brasil,Brasil,Brasil
Brasil,USA,Brasil,Brasil,Brasil
USA,USA,Brasil,Brasil,Brasil
USA,USA,Brasil,Brasil,Brasil
USA,USA,Brasil,Brasil,Brasil
USA,USA,Brasil,Brasil,Brasil
USA,USA,USA,USA,Brasil
USA,USA,USA,USA,Brasil
USA,USA,USA,USA,Brasil
USA,USA,USA,USA,Brasil
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
USA,USA,USA,USA,USA
Canada,USA,USA,USA,USA
Canada,USA,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,USA,USA
Canada,Canada,USA,Canada,USA
Canada,Canada,USA,Canada,USA
Canada,Canada,USA,Canada,USA
Áfirca do Sul,Canada,USA,Canada,USA
Áfirca do Sul,Áfirca do Sul,USA,Canada,USA
Áfirca do Sul,Áfirca do Sul,USA,Canada,USA
Áfirca do Sul,Áfirca do Sul,USA,Canada,USA
Áfirca do Sul,Áfirca do Sul,USA,Canada,USA
Itália,Áfirca do Sul,Canada,Canada,USA
Itália,Áfirca do Sul,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,Canada,USA
Itália,Itália,Canada,África do Sul,USA
Itália,Itália,Canada,África do Sul,USA
Itália,Itália,Canada,África do Sul,USA
Itália,Itália,Canada,África do Sul,Canada
Itália,Itália,Canada,África do Sul,Canada
Itália,Itália,Canada,África do Sul,Canada
Itália,Itália,Canada,Itália,Canada
Itália,Itália,Canada,Itália,Canada
Itália,Itália,Canada,Itália,Canada
Itália,Itália,Canada,Itália,Canada
Itália,Itália,África do Sul,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Itália,Itália,Itália,Itália,Canada
Grécia,Grécia,Itália,Itália,Canada
Grécia,Grécia,Itália,Itália,Canada
Grécia,Grécia,Itália,Itália,Canada
Grécia,Grécia,Itália,Itália,Canada
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Grécia,Grécia,Itália,Itália,África do Sul
Japão,Grécia,Itália,Itália,África do Sul
Japão,Grécia,Itália,Grécia,África do Sul
Japão,Japão,Itália,Grécia,Itália
Japão,Japão,Itália,Japão,Itália
Japão,Japão,Itália,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Grécia,Japão,Itália
Japão,Japão,Japão,Japão,Itália
Japão,Japão,Japão,Japão,Itália
Japão,Japão,Japão,Japão,Itália
Japão,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Itália
China,Japão,Japão,Japão,Grécia
China,Japão,Japão,Japão,Grécia
China,Japão,Japão,Japão,Grécia
China,Japão,Japão,Japão,Grécia
China,Japão,Japão,Japão,Grécia
China,Japão,Japão,Japão,Grécia
China,Japão,Japão,Japão,Japão
China,Japão,Japão,Japão,Japão
China,Japão,Japão,Japão,Japão
China,Japão,China,Japão,Japão
China,China,China,Japão,Japão
China,China,China,Japão,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
China,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,Japão
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,China,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Austrália,Austrália,China,China,China
Inglaterra,Austrália,China,China,China
Inglaterra,Austrália,China,China,China
Inglaterra,Austrália,China,China,China
Inglaterra,Austrália,China,China,China
Inglaterra,Austrália,China,China,China
Inglaterra,Austrália,China,Austrália,China
Inglaterra,Austrália,China,Austrália,China
Inglaterra,Austrália,China,Austrália,China
Inglaterra,Austrália,China,Austrália,China
Inglaterra,Austrália,China,Austrália,China
Inglaterra,Austrália,China,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,China
Inglaterra,Austrália,Austrália,Austrália,Austrália
Inglaterra,Austrália,Austrália,Austrália,Austrália
Inglaterra,Austrália,Austrália,Austrália,Austrália
Inglaterra,Austrália,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Inglaterra,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Austrália,Austrália
Alemanha,Inglaterra,Austrália,Inglaterra,Austrália
Alemanha,Inglaterra,Austrália,Inglaterra,Austrália
Alemanha,Inglaterra,Austrália,Inglaterra,Austrália
Alemanha,Inglaterra,Austrália,Inglaterra,Austrália
Alemanha,Inglaterra,Austrália,Inglaterra,Austrália
Alemanha,Inglaterra,Austrália,Inglaterra,Inglaterra
Alemanha,Inglaterra,Austrália,Inglaterra,Inglaterra
Alemanha,Inglaterra,Austrália,Inglaterra,Inglaterra
Alemanha,Inglaterra,Austrália,Inglaterra,Inglaterra
Alemanha,Inglaterra,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Austrália,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Alemanha,Alemanha,Inglaterra,Inglaterra,Inglaterra
Quênia,Alemanha,Inglaterra,Inglaterra,Inglaterra
